movie_id,title,release_date,genres
22e5821a8d,The Doll,2019-01-15,"Horror, Thriller"
230728d966,Trainwreck,2015-07-17,"Comedy, Drama, Romance"
231e50f5ea,Soorma,2018-07-13,"Biography, Drama, Sport"
237f91bbf5,Schindler's List,1994-02-04,"Biography, Drama, History"
238eac7fb5,Floating!,2016-01-07,"Comedy, Drama"
23be68fd25,Ip Man,2008-12-12,"Action, Biography, Drama, History"
23c9c9f157,A Scandall,2016-06-24,Thriller
23fa996759,Revolt,2017-07-01,"Action, Adventure, Sci-Fi"
24aca5c91f,Colors of Heaven,NOT AVAILABLE,NOT AVAILABLE
24c816e3b1,Zoolander 2,2016-02-12,"Action, Adventure, Comedy, Mystery, Romance"
24cfffed9a,Ella Enchanted,2004-04-09,"Comedy, Family, Fantasy, Romance"
24ee176c8e,What We Did on Our Holiday,2015-07-10,"Comedy, Drama"
2528b26373,The Chosen Ones,2016-01-20,Drama
252c41b823,Kung Fu Panda,2008-06-06,"Animation, Action, Adventure, Comedy, Family"
253a67bbe7,Gangs of New York,2002-12-20,"Crime, Drama"
253bc2c6a6,B.A. Pass 2,2017-09-15,Drama
254b5432f4,Maid in Manhattan,2002-12-13,"Comedy, Drama, Romance"
257f9d2f23,Bee Movie,2007-11-02,"Animation, Adventure, Comedy, Family"
2599c90cbd,Stasis,2017-08-29,"Action, Adventure, Sci-Fi"
25f213d9a9,211,2018-06-08,"Action, Crime, Drama"
261df73aa6,The Hitman's Bodyguard,2017-08-18,"Action, Comedy, Crime, Thriller"
2624d19587,Iron Man 2,2010-05-07,"Action, Adventure, Sci-Fi"
2641dce235,Welcome to Yesterday,2015-01-30,"Drama, Mystery, Sci-Fi, Thriller"
264708832a,Duck Butter,2018-04-27,"Comedy, Drama, Romance"
2651c2f83b,Barbie Dolphin Magic,2017-09-18,"Animation, Adventure, Family, Fantasy"
268154e1d0,The Guest House,2012-09-04,Romance
26bb20f603,The Blackcoat's Daughter,2017-02-16,"Horror, Mystery, Thriller"
26bd5987e8,"Angus, Thongs and Perfect Snogging",2008-07-25,"Comedy, Drama, Romance"
26c2292c0d,Bridge to Terabithia,2007-02-16,"Drama, Family, Fantasy"
26dca5fdd8,One Night,NOT AVAILABLE,"Drama, Romance"
26f0778801,Europa Report,2013-06-27,"Drama, Mystery, Sci-Fi, Thriller"
27075c423a,Happy Christmas,2014-06-26,"Comedy, Drama"
270ef7f12c,Baazaar,2018-10-26,"Crime, Drama, Thriller"
27155f9a02,Changing Lanes,2002-04-12,"Drama, Thriller"
271e85e3b3,The Wolf of Wall Street,2013-12-25,"Biography, Crime, Drama"
272eec9835,Bokeh,2017-03-24,"Drama, Sci-Fi"
2757683356,The Best Offer,2014-01-01,"Crime, Drama, Mystery, Romance"
2766c99cf1,Battle Drone,2018-03-01,"Action, Sci-Fi"
27b27337d6,A Christmas Horror Story,2015-10-02,"Fantasy, Horror, Mystery, Sci-Fi, Thriller"
27b44a3183,Lucid Dream,2017-06-02,"Sci-Fi, Thriller"
27b84e597c,A Knight's Tale,2001-05-11,"Action, Adventure, Romance"
27d4615624,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014-12-19,"Animation, Comedy, Drama"
27d585ebeb,Spring Breakers,2013-03-22,"Crime, Drama"
27e48d67a3,Kill Bill: Vol. 1,2003-10-10,"Action, Crime, Thriller"
28601cddee,Inferno,2016-10-28,"Action, Adventure, Crime, Drama, Mystery, Thriller"
2878d52bda,Omar and Salma 3,2012-02-23,"Comedy, Romance"
289dba4840,Sundown,2016-05-13,"Action, Comedy, Romance"
28a874e9aa,Nasha,2013-07-26,"Drama, Thriller"
29622dec9b,Cocaine Cowboys,2007-11-23,"Documentary, Crime, History"
29a59f07fc,Uptown Girls,2003-08-15,"Comedy, Drama, Romance"
2a361bd8e5,Ms. Matched,2016-06-04,"Comedy, Romance"
2a4fe8b9e2,Mac & Devin Go to High School,2012-07-03,Comedy
